#SampleID	SampleName	PlotOrder	SampleType	Station	TypeStationGroup	OysterNum	Mass_g	Width_mm	Length_mm	DermoConc	DermoIndex	Ammonium_uM	phosphate_uM	nitrite_uM	nitrite_nitrate_uM	Salinity_morn	Salinity_eve	Salinity_avg	Temp_morn	Temp_eve	Temp_avg	pH_morn	pH_eve	pH_avg	Chl_ugL_morn	Chl_ugL_eve	Chl_ugL_avg	DO_mgL_morn	DO_mgL_eve	DO_mgL_avg	HistoAccessionNumber	HistoSex	GonadalStatus 	DigestiveDiverticulaAtrophyLevel 	Necrosis	PerivascularInflammation 	HistoDermo
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	numeric	numeric
RS121_S51	5.NIN.2	46	gut	5.NIN	gut_5.NIN	2	44.07	66	65	23.63	Low	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN02	M	8	0	1	1	0
RS122_S63	5.NIN.4	48	gut	5.NIN	gut_5.NIN	4	56	44	70	60.25	Low	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN04	F	1	0	0	1	0
RS123_S75	5.NIN.7	51	gut	5.NIN	gut_5.NIN	7	42.08	55	70	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN07	ND	1	0	0	0	0
RS124_S87	5.NIN.9	53	gut	5.NIN	gut_5.NIN	9	41.27	56	64	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN09	F	7	0	0	0	0
RS125_S4	5.NIN.10	54	gut	5.NIN	gut_5.NIN	10	45.87	60	72	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN10	F	8	0	0	1	0
RS236_S146	1.PVD.W2	55	water	1.PVD	water_1.PVD						Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9							
RS237_S102	2.GB.W2	57	water	2.GB	water_2.GB						None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66							
RS238_S109	3.BIS.W2	59	water	3.BIS	water_3.BIS						High	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23							
RS239_S116	4.NAR.W2	61	water	4.NAR	water_4.NAR						Medium	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96							
RS240_S123	5.NIN.W2	63	water	5.NIN	water_5.NIN						Low	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5							
RS241_S129	1.PVD.W2-2	56	water	1.PVD	water_1.PVD						Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9							
RS242_S135	2.GB.W2-2	58	water	2.GB	water_2.GB						None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66							
RS243_S141	3.BIS.W2-2	60	water	3.BIS	water_3.BIS						High	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23							
RS244_S147	4.NAR.W2-2	62	water	4.NAR	water_4.NAR						Medium	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96							
RS245_S103	5.NIN.W2-2	64	water	5.NIN	water_5.NIN						Low	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5							
RS246_S110	MOCK.CON	65	control																																		
RS247_S117	NEG.CON	67	control																																		
RS382_S39	1.PVD.1	1	gut	1.PVD	gut_1.PVD	1	132.88	60	16	679.93	Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD01	F	6	1	1	1	1
RS383_S51	1.PVD.2	2	gut	1.PVD	gut_1.PVD	2	66.86	64	77	15.1	Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD02	M	2	0	0	1	0
RS384_S63	1.PVD.7	9	gut	1.PVD	gut_1.PVD	7	141.75	66	93	99.63	Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD07	F	8	1	0	2	1
RS385_S75	1.PVD.9	11	gut	1.PVD	gut_1.PVD	9	200	91	112	0	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD09	F	2	0	0	0	0
RS386_S87	1.PVD.10	12	gut	1.PVD	gut_1.PVD	10	151.7	75	111	3783.95	Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD10	F	4	0	0	0	1
RS387_S99	2.GB.3	15	gut	2.GB	gut_2.GB	3	129.7	68	95	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB03	M	6	1	0	1	0
RS388_S111	2.GB.4	16	gut	2.GB	gut_2.GB	4	97.26	58	97	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB04	M	4	2	0	0	0
RS389_S28	2.GB.8	21	gut	2.GB	gut_2.GB	8	88.83	64	82	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB08	M	5	1	0	0	0
RS390_S40	2.GB.9	22	gut	2.GB	gut_2.GB	9	70.34	61	81	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB09	M	6	3	0	0	0
RS391_S52	2.GB.10	23	gut	2.GB	gut_2.GB	10	145.75	74	97	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB10	F	1	3	0	1	0
RS392_S64	3.BIS.1	24	gut	3.BIS	gut_3.BIS	1	222	90	134	1975	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS01A	F	3	2	0	2	1
RS393_S76	3.BIS.2	25	gut	3.BIS	gut_3.BIS	2	279	76	138	47	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS02A	M	2	0	0	0	0
RS394_S88	3.BIS.5	28	gut	3.BIS	gut_3.BIS	5	141.97	59	96	1221.5	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS05	M	2	0	0	0	0
RS395_S100	3.BIS.6	29	gut	3.BIS	gut_3.BIS	6	331	74	138	61.9	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS06	M	2	0	1	1	0
RS396_S112	3.BIS.8	31	gut	3.BIS	gut_3.BIS	8	37	55	64	11645	Medium	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS08	F	1	0	0	1	1
RS397_S1	4.NAR.3	37	gut	4.NAR	gut_4.NAR	3	30	43	64	2157	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR03	F	2	2	0	0	0
RS398_S2	4.NAR.4	38	gut	4.NAR	gut_4.NAR	4	52	47	88	1.33	None	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR04	F	1	2	0	0	0
RS399_S3	4.NAR.5	39	gut	4.NAR	gut_4.NAR	5	60	54	92	175.5	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR05	M	7	0	0	1	0
RS400_S4	4.NAR.8	42	gut	4.NAR	gut_4.NAR	8	38	39	58	364	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR08	F	1	1	0	0	0
RS401_S5	4.NAR.10	44	gut	4.NAR	gut_4.NAR	10	42	49	59	1270	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR10	M	3	1	0	2	1
RS402_S6	5.NIN.1	45	gut	5.NIN	gut_5.NIN	1	25.9	55	58	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN01	F	2	1	1	1	0
RS403_S7	5.NIN.3	47	gut	5.NIN	gut_5.NIN	3	38.17	57	63	32700	Medium	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN03	ND	1	0	0	1	1
RS404_S8	5.NIN.5	49	gut	5.NIN	gut_5.NIN	5	61.03	50	78	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN05	F	6	1	0	0	0
RS405_S9	5.NIN.6	50	gut	5.NIN	gut_5.NIN	6	36.97	48	60	1.33	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN06	F	8	0	1	1	0
RS406_S10	5.NIN.8	52	gut	5.NIN	gut_5.NIN	8	42.98	54	77	0	None	13.87	0.15	0	0.89	29.53	28.24	28.88	22.17	24.42	23.29	8.17	8.15	8.16	4.07	3.46	3.77	7.05	11.94	9.5	RI17NIN08	F	8	0	0	1	0
RS407_S11	1.PVD.5.2	6	gut	1.PVD	gut_1.PVD	5.2	108.65	69	100	5.53	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD05	F	5	0	0	1	0
RS408_S12	1.PVD.6.2	8	gut	1.PVD	gut_1.PVD	6.2	79.2	62	82	0.91	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD06	M	6	0	0	1	0
RS409_S13	2.GB.5.2	18	gut	2.GB	gut_2.GB	5.2	71.51	52	72	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB05	M	2	3	1	2	0
RS410_S14	3.BIS.9.2	33	gut	3.BIS	gut_3.BIS	9.2	157	59	88	28850	Medium	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS09	ND	1	2	1	2	2
RS411_S15	MOCK.CON.2	66	control																																		
RS412_S16	NEG.CON.2	68	control																																		
